grid_id,key,route,time,type,Unnamed: 0,card,stage
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:39:53,subway_off,457082.0,a6d0bc4778fc331407df6db1ffcf78ce,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:27:28,subway_on,457086.0,8fe5fa699689373393041e06b2426bc9,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:17:44,subway_off,457086.0,8fe5fa699689373393041e06b2426bc9,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:21:12,subway_on,457128.0,d4329b7c74241db1b4fe57be1b2cbe59,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:07:37,subway_off,457128.0,d4329b7c74241db1b4fe57be1b2cbe59,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:16:28,subway_on,457148.0,84b9348e2577c300fce46f8be7604250,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:03:20,subway_off,457148.0,84b9348e2577c300fce46f8be7604250,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:31:34,subway_on,457169.0,0b5c679c132b8e2c7f4c854e05fe12ba,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:24:15,subway_off,457169.0,0b5c679c132b8e2c7f4c854e05fe12ba,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:55:16,subway_on,457219.0,5c8a5b9caaf2c9a93a86e4b4840e245a,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:47:04,subway_off,457219.0,5c8a5b9caaf2c9a93a86e4b4840e245a,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 08:01:46,subway_on,457246.0,5c07357b46b7e7d069fde3c30bd51fbf,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:51:05,subway_off,457246.0,5c07357b46b7e7d069fde3c30bd51fbf,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:21:32,subway_on,457252.0,5328242f6661dd47070d3e50d157e44e,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:04:11,subway_off,457252.0,5328242f6661dd47070d3e50d157e44e,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:47:20,subway_on,457257.0,90684e44660d76d9bdd10ba3238a18a4,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:32:17,subway_off,457257.0,90684e44660d76d9bdd10ba3238a18a4,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:53:08,subway_on,457290.0,3ec9b474ac6fbe662496954e0e17fda7,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:40:50,subway_off,457290.0,3ec9b474ac6fbe662496954e0e17fda7,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:29:20,subway_on,457298.0,da8db3ac5e0f64e36a891af4a251a4f5,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:17:42,subway_off,457298.0,da8db3ac5e0f64e36a891af4a251a4f5,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:58:28,subway_on,457304.0,d4608e168a54ccee65ef445bf6d5ef11,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:50:11,subway_off,457304.0,d4608e168a54ccee65ef445bf6d5ef11,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:52:40,subway_on,457332.0,f9812bad168ad935c93d31b0c48d8834,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:39:41,subway_off,457332.0,f9812bad168ad935c93d31b0c48d8834,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:01:40,subway_on,457341.0,2a7a9f1c2aba41913489ed7e532599a1,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 07:41:34,subway_off,457341.0,2a7a9f1c2aba41913489ed7e532599a1,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:44:04,subway_on,457363.0,113fbb33808f9e9df5f27279e3fad5b0,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:35:09,subway_off,457363.0,113fbb33808f9e9df5f27279e3fad5b0,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:50:22,subway_on,457389.0,aabc73865ed386528cc1ea48748f99d8,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:39:36,subway_off,457389.0,aabc73865ed386528cc1ea48748f99d8,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:14:50,subway_on,457410.0,c772519935ddb652eebb2fd7701a2b93,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 07:59:42,subway_off,457410.0,c772519935ddb652eebb2fd7701a2b93,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:16:44,subway_on,457430.0,32e969314552d06318ca68c80681e6d4,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:03:45,subway_off,457430.0,32e969314552d06318ca68c80681e6d4,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 08:02:14,subway_on,457450.0,fb2aee95b5174da41bb88c3632165c5a,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:49:31,subway_off,457450.0,fb2aee95b5174da41bb88c3632165c5a,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 08:12:52,subway_on,457481.0,7e4510f581ceea65e23c0438b306d48b,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:57:54,subway_off,457481.0,7e4510f581ceea65e23c0438b306d48b,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:54:44,subway_on,457502.0,b0768379da34aecedc7ab47a16dc9b1e,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:48:06,subway_off,457502.0,b0768379da34aecedc7ab47a16dc9b1e,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:23:46,subway_on,457546.0,ce94257cf9266aad2737784e0e22e381,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:07:23,subway_off,457546.0,ce94257cf9266aad2737784e0e22e381,1
